feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.1754345,0.1697294,0.17425084,0.17212465,0.17425084,0.16770913,0.1773066,0.18155818,0.17296897
0.17212465,0.17296897,0.17425084,0.16770913,0.18155818,0.16727361,0.1750257,0.18037704,0.1773066
0.16770913,0.1773066,0.18155818,0.16727361,0.18037704,0.16727361,0.17209871,0.17209871,0.1750257
0.13007663,0.12820664,0.16862507,0.15392488,0.15702498,0.16411029,0.18866736,0.13982701,0.17265452
0.15392488,0.17265452,0.15702498,0.16411029,0.13982701,0.15628248,0.13508336,0.2343912,0.18866736
0.19869792,0.2008283,0.2066729,0.19771796,0.22826913,0.23235275,0.19194704,0.19194704,0.21964559
0.19664836,0.1677783,0.19631748,0.18720432,0.1853052,0.1929482,0.19560432,0.19560432,0.18494736
0.18720432,0.18494736,0.1853052,0.1929482,0.19560432,0.18721282,0.18721282,0.20076753,0.19560432
0.1929482,0.19560432,0.19560432,0.18721282,0.20076753,0.17972003,0.17291975,0.18648164,0.18721282
0.18721282,0.18721282,0.20076753,0.17972003,0.18648164,0.17972003,0.17668106,0.17818879,0.17291975
0.17972003,0.17291975,0.18648164,0.17972003,0.17818879,0.16938893,0.17547709,0.17782828,0.17668106
0.17972003,0.17668106,0.17818879,0.16938893,0.17782828,0.18100335,0.17274398,0.17424302,0.17547709
0.16938893,0.17547709,0.17782828,0.18100335,0.17424302,0.18100335,0.17911951,0.17786089,0.17274398
0.18100335,0.17274398,0.17424302,0.18100335,0.17786089,0.1697294,0.17425084,0.17425084,0.17911951
0.18100335,0.17911951,0.17786089,0.1697294,0.17425084,0.17296897,0.17425084,0.1697684,0.17425084
0.1697294,0.17425084,0.17425084,0.17296897,0.1697684,0.1773066,0.18155818,0.18496619,0.17425084
0.17296897,0.17425084,0.1697684,0.1773066,0.18496619,0.1750257,0.18037704,0.18037704,0.18155818
0.1773066,0.18155818,0.18496619,0.1750257,0.18037704,0.17209871,0.17209871,0.17640498,0.18037704
0.1642499,0.16369589,0.16654524,0.16402341,0.17374307,0.16297296,0.16684096,0.17374307,0.16574107
0.16402341,0.16574107,0.17374307,0.16297296,0.17374307,0.15646714,0.16605186,0.16125639,0.16684096
0.16297296,0.16684096,0.17374307,0.15646714,0.16125639,0.12820664,0.16862507,0.16862507,0.16605186
0.15646714,0.16605186,0.16125639,0.12820664,0.16862507,0.17265452,0.15702498,0.14066035,0.16862507
0.12820664,0.16862507,0.16862507,0.17265452,0.14066035,0.18866736,0.13982701,0.15332747,0.15702498
0.17265452,0.15702498,0.14066035,0.18866736,0.15332747,0.13508336,0.2343912,0.15083627,0.13982701
0.2008283,0.2066729,0.21265677,0.21964559,0.22826913,0.19194704,0.19194704,0.22360946,0.22826913
0.1677783,0.19631748,0.20115308,0.18494736,0.1853052,0.19560432,0.19560432,0.18178457,0.1853052
0.18494736,0.1853052,0.1853052,0.19560432,0.18178457,0.18721282,0.20076753,0.19562748,0.19560432
0.19560432,0.19560432,0.18178457,0.18721282,0.19562748,0.17291975,0.18648164,0.20221692,0.20076753
0.18721282,0.20076753,0.19562748,0.17291975,0.20221692,0.17668106,0.17818879,0.18795456,0.18648164
0.17291975,0.18648164,0.20221692,0.17668106,0.18795456,0.17547709,0.17782828,0.1765998,0.17818879
0.17668106,0.17818879,0.18795456,0.17547709,0.1765998,0.17274398,0.17424302,0.1769667,0.17782828
0.17547709,0.17782828,0.1765998,0.17274398,0.1769667,0.17911951,0.17786089,0.17786089,0.17424302
0.17274398,0.17424302,0.1769667,0.17911951,0.17786089,0.17425084,0.17425084,0.17235494,0.17786089
0.17911951,0.17786089,0.17786089,0.17425084,0.17235494,0.17425084,0.1697684,0.17643395,0.17425084
0.17425084,0.17425084,0.17235494,0.17425084,0.17643395,0.18155818,0.18496619,0.18496619,0.1697684
0.17425084,0.1697684,0.17643395,0.18155818,0.18496619,0.18037704,0.18037704,0.17969413,0.18496619
0.18155818,0.18496619,0.18496619,0.18037704,0.17969413,0.17209871,0.17640498,0.17973329,0.18037704
0.16369589,0.16654524,0.17000552,0.16574107,0.17571807,0.16684096,0.17374307,0.18155959,0.17374307
0.16574107,0.17374307,0.17571807,0.16684096,0.18155959,0.16605186,0.16125639,0.17378572,0.17374307
0.16684096,0.17374307,0.18155959,0.16605186,0.17378572,0.16862507,0.16862507,0.17378572,0.16125639
0.16605186,0.16125639,0.17378572,0.16862507,0.17378572,0.15702498,0.14066035,0.15137127,0.16862507
0.16862507,0.16862507,0.17378572,0.15702498,0.15137127,0.13982701,0.15332747,0.17045568,0.14066035
0.15702498,0.14066035,0.15137127,0.13982701,0.17045568,0.2343912,0.15083627,0.15083627,0.15332747
0.19631748,0.20115308,0.18693541,0.1853052,0.19825278,0.19560432,0.18178457,0.19825278,0.1853052
0.1853052,0.1853052,0.19825278,0.19560432,0.19825278,0.20076753,0.19562748,0.20624034,0.18178457
0.19560432,0.18178457,0.19825278,0.20076753,0.20624034,0.18648164,0.20221692,0.19577578,0.19562748
0.20076753,0.19562748,0.20624034,0.18648164,0.19577578,0.17818879,0.18795456,0.17455178,0.20221692
0.18648164,0.20221692,0.19577578,0.17818879,0.17455178,0.17782828,0.1765998,0.17561507,0.18795456
0.17818879,0.18795456,0.17455178,0.17782828,0.17561507,0.17424302,0.1769667,0.1769667,0.1765998
0.17782828,0.1765998,0.17561507,0.17424302,0.1769667,0.17786089,0.17786089,0.1767998,0.1769667
0.17424302,0.1769667,0.1769667,0.17786089,0.1767998,0.17425084,0.17235494,0.17258355,0.17786089
