feature_0,feature_1,feature_2,clor_val
0.22025421,0.22025421,0.22203115,0.22025421
0.21641442,0.21641442,0.22321498,0.22321498
0.22032642,0.21506171,0.21661848,0.22608231
0.22608231,0.22447139,0.22447139,0.21661848
0.22064197,0.22402734,0.21965428,0.22511412
0.22064197,0.22511412,0.22402734,0.21965428
0.21659276,0.21563971,0.21659276,0.21563971
0.21563971,0.21659276,0.21659276,0.21563971
0.2009289,0.1937865,0.19220673,0.19875461
0.21007493,0.21048546,0.21048546,0.21007493
0.22115955,0.23780942,0.23780942,0.21753398
0.18441586,0.18938747,0.18938747,0.18441586
0.18938747,0.19199847,0.18938747,0.19199847
0.19610843,0.19610843,0.18735228,0.189551
0.21689694,0.21960185,0.21960185,0.21689694
0.21689694,0.21960185,0.21960185,0.21689694
0.26349744,0.26144466,0.26811296,0.26390567
0.26938918,0.28388935,0.27168483,0.26938918
0.22354345,0.22354345,0.2215032,0.21754308
0.25334692,0.25780597,0.25780597,0.25780597
0.28350294,0.292537,0.27138874,0.27379355
0.27379355,0.26930296,0.28181782,0.27138874
0.27138874,0.26930296,0.26930296,0.28181782
0.2888824,0.2841462,0.26795253,0.26795253
0.27341726,0.27854955,0.27974808,0.27341726
0.3183055,0.2969411,0.2969411,0.31109685
0.27812943,0.2798236,0.2753009,0.2753009
0.28611374,0.28157443,0.30589244,0.3075173
0.3075173,0.28611374,0.30589244,0.28157443
0.30589244,0.2986464,0.32982045,0.30912298
0.3199318,0.30961478,0.3191686,0.325427
0.30961478,0.3191686,0.30913383,0.30714515
0.39523596,0.3750124,0.3864064,0.37798864
0.3864064,0.34861034,0.36143914,0.34834644
0.32082704,0.312113,0.32082704,0.32035142
0.40599623,0.40599623,0.39523596,0.39523596
0.3864064,0.3816281,0.34834644,0.36143914
0.32228082,0.33751398,0.33751398,0.32228082
0.40599623,0.39523596,0.39523596,0.40599623
0.3355565,0.3413111,0.3413111,0.37407506
0.36527422,0.37231046,0.3854671,0.36527422
0.33052334,0.3447217,0.34071052,0.3210414
0.36527422,0.3854671,0.37420607,0.37231046
0.36527422,0.37231046,0.37420607,0.3854671
0.36731124,0.36392453,0.36392453,0.36054453
0.33516622,0.31712478,0.33898914,0.33308133
0.35782093,0.39304894,0.36960882,0.36960882
0.370304,0.3836124,0.38127246,0.39432865
0.3507635,0.38127246,0.3529586,0.3507635
0.3507635,0.3507635,0.38127246,0.3529586
0.22949666,0.23173937,0.23173937,0.22949666
0.22949666,0.22949666,0.23173937,0.23173937
