feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,clor_val
0.19636345,0.25446248,0.17539439,0.18313259,0.18020922,0.19422518,0.21045034,0.19564389
0.19519001,0.18570015,0.2128206,0.19166133,0.31785807,0.19166133,0.20885465,0.20885465
0.18639511,0.18183847,0.16708592,0.18210225,0.18765628,0.19062991,0.18757387,0.18345082
0.25446248,0.1652453,0.19564389,0.18305926,0.19422518,0.21045034,0.23428541,0.18313259
0.17929392,0.18564934,0.20389637,0.18570015,0.3138968,0.20885465,0.31785807,0.2128206
0.18696871,0.17585109,0.17830049,0.16292407,0.18213154,0.1730688,0.15536629,0.17585109
0.19097283,0.19097283,0.22392003,0.19642755,0.22392003,0.17292693,0.20715255,0.20884426
0.19434644,0.20872116,0.18328074,0.2001793,0.20094737,0.184146,0.15813145,0.1865295
0.19596234,0.18265253,0.19454949,0.19454949,0.18313259,0.18305926,0.20721705,0.1652453
0.1652453,0.19454949,0.18313259,0.20721705,0.21045034,0.23428541,0.19319546,0.18305926
0.18220535,0.19749154,0.23058572,0.17706612,0.23284523,0.18674262,0.18991493,0.20898215
0.17706612,0.20898215,0.23284523,0.18674262,0.18317965,0.17356464,0.22344978,0.18991493
0.18674262,0.18991493,0.18317965,0.22344978,0.17932773,0.19602902,0.25181887,0.17356464
0.18317965,0.17356464,0.22344978,0.17932773,0.25181887,0.18564934,0.20389637,0.19602902
0.18214598,0.15920782,0.14468214,0.18751442,0.16510314,0.18751442,0.19471622,0.17181306
0.18751442,0.17181306,0.16510314,0.18751442,0.14987087,0.31282744,0.31282744,0.19471622
0.18751442,0.19471622,0.14987087,0.31282744,0.14987087,0.19438496,0.21738699,0.31282744
0.14987087,0.31282744,0.31282744,0.14987087,0.21738699,0.19097283,0.22392003,0.19438496
0.1865295,0.2001793,0.184146,0.16094764,0.18425235,0.15813145,0.19313157,0.15813145
0.18874222,0.19196506,0.19402206,0.16708592,0.19367343,0.18765628,0.19275877,0.19138567
0.2277572,0.24890532,0.20334148,0.19749154,0.21310493,0.20898215,0.23284523,0.23058572
0.15813145,0.16094764,0.15813145,0.16309275,0.18143646,0.19313157,0.19623677,0.19313157
0.24890532,0.20334148,0.1875097,0.23058572,0.15081316,0.23284523,0.15081316,0.21310493
0.15600203,0.14270309,0.15050821,0.17312877,0.1364143,0.16070917,0.17557834,0.13794056
