feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,clor_val
0.19075324,0.20560546,0.1983342,0.19729613,0.2219605,0.20076814,0.2027268
0.19459277,0.19775157,0.20917954,0.178604,0.17048998,0.21255493,0.2107983
0.18232371,0.2206679,0.21379429,0.17401928,0.17495601,0.20560546,0.2206679
0.2206679,0.21379429,0.18365718,0.2206679,0.22184709,0.22868255,0.17495601
0.21379429,0.18365718,0.18899727,0.17495601,0.21439351,0.22868255,0.22184709
0.18365718,0.18899727,0.2194906,0.22184709,0.2490123,0.22868255,0.21439351
0.17958441,0.16446908,0.19331095,0.20292836,0.19920763,0.1965032,0.18150783
0.18150783,0.20292836,0.21037984,0.19920763,0.2138281,0.21032104,0.1965032
0.17857143,0.19050215,0.22075835,0.1808207,0.20035222,0.19977932,0.20132512
0.16957995,0.1902527,0.2109954,0.25003868,0.21435994,0.22869435,0.22869435
0.23081839,0.23443942,0.21550104,0.19511642,0.19110784,0.19511642,0.22336267
0.22336267,0.19511642,0.19511642,0.18256634,0.21360275,0.21476856,0.19110784
0.22945304,0.22967522,0.22967522,0.20855743,0.17089596,0.20305218,0.22597669
0.19110784,0.19511642,0.20080017,0.21360275,0.19268617,0.1738938,0.21476856
0.22597669,0.20855743,0.20101446,0.17089596,0.22787464,0.17630701,0.20305218
0.19511642,0.20572203,0.19511642,0.21476856,0.19268617,0.20310351,0.20080017
0.19511642,0.20080017,0.21476856,0.20310351,0.1738938,0.1615309,0.19268617
0.17350973,0.17123805,0.17493966,0.17128853,0.18932407,0.16068651,0.16774523
0.20310351,0.15142052,0.1615309,0.21277083,0.18202864,0.19925207,0.17035876
0.1615309,0.17035876,0.21277083,0.18202864,0.24091598,0.26105785,0.19925207
0.16774523,0.18932407,0.18818624,0.15754946,0.17630327,0.21825896,0.16068651
0.15754946,0.17630327,0.21825896,0.17285065,0.18201819,0.206731,0.17630327
0.18603638,0.19371952,0.20637149,0.1989226,0.20343907,0.21355292,0.21134005
0.20637149,0.21134005,0.1989226,0.21355292,0.21865605,0.21537715,0.20343907
0.18999156,0.19818208,0.20004033,0.1977584,0.15142052,0.24719372,0.18700223
0.20136729,0.21036059,0.2290825,0.21124777,0.21778421,0.22468817,0.19693038
0.22468817,0.24670888,0.24059403,0.22483288,0.22409645,0.22582024,0.24059403
0.18590331,0.23445223,0.19961496,0.27286538,0.18423823,0.20924892,0.20924892
0.16703998,0.21999124,0.21939959,0.23658483,0.2518905,0.31873816,0.18222007
0.15220739,0.23445223,0.19961496,0.20924892,0.27286538,0.31223938,0.19961496
0.19961496,0.19961496,0.20699549,0.27286538,0.17379087,0.19244947,0.31223938
0.23050536,0.25275466,0.21999124,0.21939959,0.26309818,0.20564796,0.21999124
0.21999124,0.26309818,0.23450288,0.31873816,0.24778308,0.25898337,0.20564796
0.2010697,0.20564796,0.23450288,0.24778308,0.25898337,0.26321846,0.23450288
0.20564796,0.23450288,0.23450288,0.24778308,0.26321846,0.42008227,0.25898337
0.20899887,0.2010697,0.19132054,0.23450288,0.21887673,0.20661828,0.20583981
0.20779598,0.21725862,0.20899887,0.206183,0.19132054,0.19433418,0.20941463
0.20899887,0.20941463,0.206183,0.19132054,0.20661828,0.20704885,0.19433418
0.18410923,0.21177953,0.20338234,0.21177953,0.20729403,0.20759505,0.19878267
0.20779598,0.21725862,0.2115997,0.20941463,0.20126125,0.19433418,0.206183
0.19878267,0.20338234,0.20729403,0.21612006,0.20967133,0.21539621,0.20759505
0.09931896,0.19603209,0.15851709,0.2631742,0.15430017,0.20514135,0.2254046
0.2254046,0.16487029,0.15430017,0.17373964,0.18359955,0.20011468,0.20514135
0.20514135,0.17373964,0.16493385,0.18359955,0.19504692,0.22196226,0.20011468
0.15894136,0.1481051,0.16470766,0.16493385,0.18726295,0.19504692,0.1856127
0.14553085,0.14553085,0.14553085,0.15004073,0.15004073,0.15004073,0.14553085
0.12462521,0.12462521,0.19682337,0.14553085,0.14553085,0.19682337,0.14553085
0.15004073,0.15004073,0.1610716,0.15004073,0.16299666,0.16299666,0.16299666
0.12462521,0.14553085,0.19682337,0.14553085,0.19682337,0.19682337,0.19682337
0.15029058,0.19682337,0.19682337,0.19682337,0.19682337,0.1610716,0.19682337
0.1610716,0.1610716,0.1610716,0.17543344,0.16299666,0.17543344,0.17543344
0.15534475,0.15534475,0.15534475,0.15534475,0.15303789,0.15303789,0.15534475
0.15534475,0.15534475,0.15534475,0.15303789,0.15303789,0.15303789,0.15303789
0.16857925,0.15534475,0.18452296,0.15534475,0.15534475,0.15534475,0.15534475
0.16857925,0.16857925,0.16857925,0.15534475,0.18452296,0.18452296,0.16857925
0.15303789,0.15303789,0.1915636,0.15303789,0.19904651,0.19904651,0.15303789
