feature_0,feature_1,feature_2,feature_3,feature_4,clor_val
0.16363811,0.2250887,0.1794069,0.16401733,0.15570523,0.1694167
0.1663055,0.1694167,0.16401733,0.15570523,0.15570523,0.2250887
0.21235555,0.21850926,0.20256251,0.18772373,0.2250887,0.1663055
0.23199105,0.23199105,0.21229969,0.18804951,0.20578958,0.20004356
0.5343154,0.15690266,0.18696296,0.21719162,1.1612949,0.18696296
0.23199105,0.21229969,0.20528163,0.20004356,0.26077628,0.20578958
0.19510227,0.17843184,0.21064392,0.15690266,0.18696296,0.15690266
0.1856847,0.13158545,0.17656793,0.16964966,0.15675543,0.18620679
0.21229969,0.20528163,0.23797148,0.20578958,0.22545655,0.26077628
0.17843184,0.21064392,0.21064392,0.15690266,0.20311862,0.15690266
0.18620679,0.12210495,0.16964966,0.15675543,0.1624771,0.13158545
0.16555972,0.1859174,0.15347277,0.16930094,0.15347277,0.16679661
0.20528163,0.23797148,0.23170707,0.26077628,0.26381004,0.22545655
0.25990164,0.19458392,0.18795972,0.14316013,0.20377432,0.23887557
0.25990164,0.23887557,0.19458392,0.18795972,0.20377432,0.14316013
0.21064392,0.21064392,0.15690266,0.15923661,0.12534426,0.20311862
0.1859174,0.1453249,0.16679661,0.17499222,0.17736074,0.16930094
0.23887557,0.20341235,0.14316013,0.20377432,0.21594436,0.19458392
0.23887557,0.19458392,0.20341235,0.14316013,0.21594436,0.20377432
0.12534426,0.15408152,0.1784014,0.13023627,0.16067351,0.19809628
0.19458392,0.19683245,0.20377432,0.21594436,0.22132814,0.20341235
0.19458392,0.20341235,0.19683245,0.20377432,0.22132814,0.21594436
0.16275549,0.17634323,0.15923661,0.15408152,0.16117828,0.15880568
0.20341235,0.21308182,0.21594436,0.22132814,0.21672128,0.19683245
0.20341235,0.19683245,0.21308182,0.21594436,0.21672128,0.22132814
0.16421321,0.19236375,0.19236375,0.19555071,0.1592776,0.19555071
0.18045706,0.18222217,0.19236375,0.2077003,0.19555071,0.19236375
0.195507,0.19144228,0.1704795,0.17718622,0.19144228,0.2132226
0.18237537,0.2046689,0.2046689,0.20056242,0.21351731,0.20056242
0.21758083,0.21758083,0.1934969,0.19733843,0.27331543,0.16204032
0.19205862,0.14512253,0.15561654,0.15219437,0.17485437,0.15278403
0.19585602,0.21630183,0.21701518,0.2046689,0.21701518,0.22066571
0.15278403,0.15366794,0.15219437,0.17485437,0.18087734,0.14512253
0.14512253,0.1640394,0.17485437,0.18087734,0.18087734,0.15366794
0.15366794,0.1640394,0.18087734,0.18087734,0.16834195,0.1640394
0.21901616,0.19597618,0.19597618,0.21825905,0.21608089,0.21542172
0.17139752,0.21143472,0.19607754,0.20072703,0.16079459,0.21143472
0.16079459,0.2447999,0.26023796,0.2510092,0.21156758,0.2221107
0.14285909,0.13173626,0.15114832,0.1681276,0.18219858,0.14285909
0.2221107,0.2510092,0.26249397,0.2415616,0.25855237,0.21156758
0.14285909,0.14041565,0.1681276,0.18219858,0.17875034,0.13173626
0.21463318,0.21174872,0.2095193,0.21638273,0.21265149,0.21354847
0.21174872,0.2095193,0.21010229,0.21354847,0.24023473,0.21265149
0.1781187,0.32593423,0.13279517,0.15723123,0.15760729,0.15723123
0.2415616,0.24522328,0.3619708,0.25855237,0.3619708,0.38380733
0.2127261,0.20383921,0.20172755,0.18568167,0.18240435,0.18600251
0.20383921,0.18600251,0.20172755,0.18240435,0.21010229,0.18568167
0.15760729,0.15271498,0.18188262,0.18344548,0.18537408,0.15760729
0.21440843,0.20234273,0.26221985,0.3619708,0.3619708,0.29487637
0.16339682,0.18431023,0.18431023,0.17227468,0.16511828,0.16339682
0.16339682,0.18431023,0.17227468,0.17171715,0.19649364,0.16511828
0.17227468,0.16511828,0.17171715,0.1846392,0.20145348,0.19649364
0.15760729,0.16267256,0.18344548,0.18537408,0.1754949,0.15271498
0.18247725,0.18247725,0.18995713,0.17674412,0.1968109,0.16773467
